Participant_ID,Age_Group,Cognitive_Level,Game_Session_ID,Time_Spent,Total_Actions,Correct_Responses,Incorrect_Responses,Hint_Usage,Game_Completion_Status,Engagement_Level,Eye_Tracking_Focus_Duration,Touch_Interactions,Facial_Expression_Sentiment,Reaction_Time,Museum_Exhibit_Type,Crowd_Level,Performance_Level
P1,3-5,Early,S1,67,37,9,28,3,0,Medium,22.72,17,Neutral,1.86,VR-based,High,Struggling
P2,3-5,Early,S2,254,71,9,62,2,1,Low,15.79,47,Neutral,1.29,Physical Display,High,Disengaged
P3,3-5,Early,S3,426,69,14,55,2,0,High,22.56,18,Frustrated,2.63,AR-based,High,Struggling
P4,9-12,Early,S4,169,75,20,55,3,1,High,16.89,5,Neutral,2.25,AR-based,Medium,Struggling
P5,9-12,Early,S5,478,83,49,34,0,0,Medium,29.02,32,Frustrated,1.98,AR-based,Medium,Struggling
P6,3-5,Early,S6,580,59,14,45,2,0,High,23.97,21,Frustrated,0.55,Physical Display,Medium,Struggling
P7,3-5,Early,S7,191,70,6,64,3,1,Medium,24.82,46,Neutral,1.87,Physical Display,Medium,Struggling
P8,6-8,Early,S8,171,41,21,20,3,0,Medium,21.03,8,Frustrated,1.78,AR-based,Medium,Struggling
P9,9-12,Advanced,S9,565,49,40,9,3,0,Medium,24.01,29,Frustrated,1.42,VR-based,High,Struggling
P10,6-8,Developing,S10,133,53,24,29,2,1,High,29.88,48,Happy,1.51,Physical Display,High,Struggling
P11,9-12,Developing,S11,600,54,36,18,4,0,Low,15.6,24,Frustrated,1.94,AR-based,Low,Disengaged
P12,3-5,Advanced,S12,70,12,5,7,4,0,High,7.06,46,Frustrated,1.01,VR-based,Low,Struggling
P13,3-5,Early,S13,500,91,11,80,2,0,High,17.17,25,Neutral,1.49,VR-based,Low,Struggling
P14,6-8,Early,S14,527,96,49,47,5,1,High,5.22,19,Neutral,1.67,AR-based,Low,Struggling
P15,9-12,Developing,S15,88,80,1,79,0,1,Low,22.32,6,Happy,2.51,Physical Display,Low,Disengaged
P16,6-8,Early,S16,535,20,9,11,2,1,Medium,18.11,49,Neutral,0.7,VR-based,Low,Struggling
P17,6-8,Developing,S17,279,28,7,21,1,0,High,20.65,46,Neutral,1.42,AR-based,High,Struggling
P18,3-5,Developing,S18,471,93,22,71,1,0,High,13.12,14,Neutral,1.74,VR-based,Medium,Struggling
P19,9-12,Early,S19,462,27,25,2,5,0,Low,5.5,12,Neutral,1.66,Physical Display,High,Disengaged
P20,3-5,Developing,S20,526,66,48,18,3,0,Medium,26.68,31,Frustrated,2.13,AR-based,High,Struggling
P21,3-5,Advanced,S21,300,71,15,56,1,1,High,19.02,19,Neutral,1.2,VR-based,Low,Struggling
P22,3-5,Developing,S22,69,50,28,22,1,1,Low,27.0,20,Frustrated,2.36,AR-based,Medium,Disengaged
P23,6-8,Developing,S23,582,10,1,9,3,0,Low,12.45,29,Frustrated,1.22,Physical Display,High,Disengaged
P24,3-5,Early,S24,114,53,6,47,2,1,High,22.87,9,Frustrated,1.62,VR-based,Medium,Struggling
P25,9-12,Early,S25,323,87,26,61,1,1,High,6.21,27,Frustrated,2.66,VR-based,Low,Struggling
P26,9-12,Early,S26,330,22,10,12,0,0,Medium,14.51,28,Neutral,2.7,Physical Display,Low,Struggling
P27,6-8,Developing,S27,588,75,71,4,2,1,High,22.2,35,Neutral,0.61,Physical Display,Low,Optimal
P28,6-8,Advanced,S28,112,77,56,21,4,0,High,13.46,50,Happy,2.81,AR-based,High,Optimal
P29,9-12,Developing,S29,478,52,23,29,4,0,High,20.0,27,Frustrated,1.63,Physical Display,Medium,Struggling
P30,9-12,Advanced,S30,502,75,40,35,2,0,Medium,12.4,5,Neutral,2.31,Physical Display,Low,Struggling
P31,3-5,Early,S31,269,57,29,28,2,0,Low,28.95,30,Happy,2.2,Physical Display,Medium,Disengaged
P32,3-5,Developing,S32,556,66,31,35,5,1,Medium,6.82,31,Happy,2.54,Physical Display,Medium,Struggling
P33,9-12,Early,S33,352,51,9,42,4,1,Medium,11.12,44,Neutral,2.19,Physical Display,Medium,Struggling
P34,3-5,Early,S34,195,90,57,33,1,1,High,28.09,13,Neutral,0.84,AR-based,High,Struggling
P35,9-12,Developing,S35,568,85,29,56,0,0,Medium,16.59,38,Happy,1.45,AR-based,High,Struggling
P36,3-5,Advanced,S36,102,52,48,4,0,1,High,22.24,25,Happy,0.7,Physical Display,Medium,Optimal
P37,6-8,Early,S37,416,36,5,31,0,1,Low,16.89,47,Frustrated,2.15,VR-based,Low,Disengaged
P38,9-12,Advanced,S38,265,14,0,14,0,1,High,28.43,28,Frustrated,2.69,VR-based,Medium,Struggling
P39,3-5,Developing,S39,362,45,44,1,4,1,High,16.49,34,Happy,2.24,VR-based,Medium,Optimal
P40,3-5,Developing,S40,550,72,44,28,0,1,Low,11.24,41,Happy,0.93,AR-based,High,Disengaged
P41,9-12,Early,S41,34,12,9,3,5,0,Medium,14.43,29,Neutral,2.77,VR-based,Medium,Disengaged
P42,9-12,Early,S42,274,67,55,12,3,1,Medium,29.25,31,Frustrated,0.62,VR-based,Medium,Struggling
P43,9-12,Advanced,S43,388,24,11,13,1,1,High,11.69,34,Happy,1.79,AR-based,Low,Struggling
P44,9-12,Advanced,S44,567,80,34,46,1,0,Medium,21.11,18,Frustrated,2.09,Physical Display,Low,Struggling
P45,6-8,Early,S45,251,88,78,10,2,0,High,29.11,40,Happy,2.08,Physical Display,High,Optimal
P46,9-12,Developing,S46,93,46,26,20,4,1,Medium,5.09,50,Frustrated,1.82,VR-based,Low,Struggling
P47,6-8,Early,S47,104,50,6,44,0,1,High,8.63,17,Happy,0.92,Physical Display,Low,Struggling
P48,3-5,Early,S48,579,62,54,8,5,0,Low,8.04,6,Frustrated,2.32,AR-based,High,Disengaged
P49,9-12,Developing,S49,128,45,30,15,3,1,High,18.69,18,Frustrated,1.91,AR-based,High,Struggling
P50,9-12,Early,S50,105,71,32,39,0,0,High,28.83,28,Neutral,2.1,VR-based,High,Struggling
P51,3-5,Developing,S51,139,72,27,45,4,1,Medium,26.79,25,Frustrated,1.8,AR-based,Low,Struggling
P52,3-5,Developing,S52,50,21,13,8,4,1,Medium,18.22,30,Frustrated,2.76,AR-based,Low,Disengaged
P53,9-12,Developing,S53,140,75,50,25,5,0,Low,14.76,41,Neutral,0.86,AR-based,High,Disengaged
P54,6-8,Early,S54,325,69,34,35,4,0,High,14.95,26,Frustrated,1.27,Physical Display,Medium,Struggling
P55,9-12,Developing,S55,419,26,20,6,0,0,Medium,11.32,25,Happy,1.69,Physical Display,Medium,Struggling
P56,3-5,Advanced,S56,85,14,5,9,5,0,High,11.79,22,Frustrated,1.39,Physical Display,Medium,Struggling
P57,9-12,Developing,S57,383,26,19,7,1,0,High,8.3,36,Frustrated,2.24,Physical Display,Low,Optimal
P58,9-12,Early,S58,374,33,31,2,1,1,Medium,22.88,43,Neutral,1.97,AR-based,Low,Struggling
P59,3-5,Early,S59,358,64,16,48,3,1,High,19.95,13,Happy,2.92,Physical Display,High,Struggling
P60,6-8,Early,S60,205,96,72,24,1,1,Medium,5.99,34,Frustrated,1.99,AR-based,Low,Struggling
P61,3-5,Advanced,S61,344,82,64,18,2,0,Low,25.43,48,Neutral,2.07,VR-based,Medium,Disengaged
P62,6-8,Developing,S62,38,34,7,27,0,0,Low,16.32,36,Neutral,0.67,VR-based,High,Disengaged
P63,6-8,Early,S63,151,81,17,64,2,0,Medium,20.61,26,Neutral,1.63,AR-based,Low,Struggling
P64,6-8,Early,S64,410,34,32,2,3,1,Low,5.42,9,Frustrated,1.9,AR-based,Low,Disengaged
P65,9-12,Early,S65,142,37,25,12,3,1,Low,15.22,21,Happy,1.51,Physical Display,High,Disengaged
P66,9-12,Advanced,S66,52,100,77,23,0,1,High,26.88,22,Neutral,2.69,Physical Display,Medium,Optimal
P67,3-5,Advanced,S67,111,19,12,7,4,0,Medium,14.44,23,Neutral,1.8,AR-based,Medium,Struggling
P68,6-8,Developing,S68,150,99,90,9,1,1,Medium,9.8,36,Frustrated,2.36,VR-based,High,Struggling
P69,6-8,Advanced,S69,394,97,72,25,2,0,High,15.11,17,Neutral,0.83,AR-based,Low,Optimal
P70,6-8,Advanced,S70,137,50,50,0,3,1,Low,27.07,6,Neutral,2.03,AR-based,Medium,Disengaged
P71,9-12,Advanced,S71,524,92,6,86,4,1,Medium,17.94,5,Neutral,2.49,AR-based,Medium,Struggling
P72,3-5,Advanced,S72,300,38,33,5,1,1,Medium,26.26,9,Frustrated,1.38,VR-based,Medium,Struggling
P73,6-8,Advanced,S73,341,71,52,19,3,0,High,8.31,23,Happy,2.85,VR-based,High,Optimal
P74,3-5,Developing,S74,163,28,10,18,4,0,Low,15.4,41,Frustrated,1.23,Physical Display,Medium,Disengaged
P75,3-5,Developing,S75,270,73,49,24,5,0,Medium,17.88,39,Neutral,2.17,VR-based,High,Struggling
P76,9-12,Advanced,S76,403,73,59,14,1,0,Medium,24.89,40,Neutral,0.99,Physical Display,High,Struggling
P77,9-12,Developing,S77,384,63,26,37,2,0,Medium,7.89,21,Neutral,1.47,Physical Display,High,Struggling
P78,9-12,Early,S78,159,72,49,23,3,1,High,28.1,25,Frustrated,2.41,VR-based,High,Struggling
P79,6-8,Early,S79,163,78,7,71,3,0,Medium,15.45,19,Frustrated,1.46,AR-based,Medium,Struggling
P80,6-8,Early,S80,103,44,35,9,3,1,High,17.56,8,Happy,1.74,AR-based,Medium,Optimal
P81,6-8,Advanced,S81,343,27,4,23,2,1,High,7.46,31,Frustrated,1.32,AR-based,Low,Struggling
P82,9-12,Advanced,S82,410,34,10,24,4,0,Medium,28.87,32,Happy,0.95,VR-based,Low,Struggling
P83,6-8,Developing,S83,556,58,5,53,1,1,Low,9.43,20,Happy,2.96,VR-based,Low,Disengaged
P84,6-8,Developing,S84,425,43,39,4,0,1,High,20.06,40,Neutral,2.41,Physical Display,Medium,Optimal
P85,6-8,Early,S85,365,53,3,50,0,1,High,16.52,26,Happy,1.36,VR-based,Low,Struggling
P86,3-5,Early,S86,534,58,32,26,5,1,High,5.14,22,Happy,1.06,VR-based,Low,Struggling
P87,3-5,Developing,S87,537,44,1,43,1,0,High,12.67,5,Neutral,1.49,AR-based,High,Struggling
P88,9-12,Developing,S88,33,97,50,47,3,1,High,10.07,29,Happy,2.45,Physical Display,Low,Disengaged
P89,6-8,Developing,S89,126,13,8,5,5,1,Medium,21.11,9,Frustrated,0.58,Physical Display,High,Struggling
P90,3-5,Advanced,S90,47,54,35,19,4,0,High,26.18,36,Frustrated,2.66,Physical Display,High,Disengaged
P91,9-12,Advanced,S91,216,21,15,6,4,1,Medium,27.78,32,Frustrated,1.68,AR-based,High,Struggling
P92,9-12,Early,S92,508,92,26,66,3,0,High,17.6,27,Happy,1.74,Physical Display,Low,Struggling
P93,6-8,Early,S93,262,73,6,67,4,1,Medium,26.75,12,Neutral,1.83,Physical Display,High,Struggling
P94,9-12,Early,S94,136,60,3,57,0,1,High,17.4,8,Neutral,2.05,VR-based,High,Struggling
P95,3-5,Early,S95,62,83,2,81,2,1,High,6.56,15,Neutral,2.18,VR-based,High,Struggling
P96,6-8,Advanced,S96,63,78,20,58,3,1,Medium,26.14,13,Happy,1.84,Physical Display,High,Struggling
P97,9-12,Advanced,S97,418,46,8,38,5,0,Low,6.62,43,Frustrated,2.53,VR-based,High,Disengaged
P98,6-8,Advanced,S98,62,60,57,3,5,0,Low,13.32,46,Neutral,0.65,AR-based,High,Disengaged
P99,3-5,Advanced,S99,99,42,5,37,3,0,High,5.98,9,Neutral,2.75,Physical Display,Low,Struggling
P100,6-8,Developing,S100,45,18,3,15,2,1,High,11.46,40,Happy,2.06,AR-based,Medium,Disengaged
P101,9-12,Early,S101,420,77,63,14,0,0,High,12.46,8,Happy,1.8,AR-based,High,Optimal
P102,9-12,Developing,S102,520,17,10,7,1,1,Medium,28.14,24,Neutral,2.17,VR-based,High,Struggling
P103,3-5,Advanced,S103,189,43,20,23,4,1,Medium,14.65,31,Frustrated,2.96,VR-based,Low,Struggling
P104,9-12,Early,S104,543,95,82,13,4,0,Medium,25.7,32,Frustrated,1.88,AR-based,Medium,Struggling
P105,6-8,Developing,S105,551,81,22,59,5,0,High,12.28,39,Frustrated,0.6,VR-based,Medium,Struggling
P106,6-8,Early,S106,365,19,7,12,2,1,High,14.64,40,Frustrated,2.21,VR-based,Low,Struggling
P107,6-8,Advanced,S107,203,42,35,7,0,1,High,18.78,13,Frustrated,2.46,VR-based,High,Optimal
P108,6-8,Advanced,S108,588,79,46,33,2,0,Low,20.38,8,Frustrated,2.83,VR-based,Low,Disengaged
P109,6-8,Early,S109,330,29,9,20,0,1,Medium,10.57,21,Happy,2.43,Physical Display,Low,Struggling
P110,3-5,Early,S110,40,75,26,49,2,1,High,19.17,42,Frustrated,1.79,Physical Display,Medium,Disengaged
P111,6-8,Developing,S111,134,59,53,6,1,1,Medium,7.61,5,Frustrated,1.16,VR-based,Low,Struggling
P112,3-5,Developing,S112,533,31,9,22,1,1,Medium,27.16,25,Happy,1.07,Physical Display,Medium,Struggling
P113,6-8,Early,S113,294,20,6,14,3,0,Low,25.24,12,Neutral,1.39,AR-based,Medium,Disengaged
P114,3-5,Advanced,S114,468,38,21,17,5,0,High,26.9,35,Frustrated,1.76,Physical Display,Medium,Struggling
P115,3-5,Developing,S115,351,87,5,82,4,1,Low,5.02,49,Frustrated,2.31,VR-based,High,Disengaged
P116,9-12,Early,S116,325,26,24,2,0,1,High,27.06,48,Frustrated,2.35,AR-based,Low,Optimal
P117,6-8,Advanced,S117,398,84,14,70,1,1,Medium,27.35,17,Frustrated,2.57,VR-based,High,Struggling
P118,6-8,Advanced,S118,126,73,60,13,4,1,Low,16.97,39,Happy,2.05,VR-based,Low,Disengaged
P119,6-8,Advanced,S119,333,52,16,36,4,0,Medium,6.06,36,Happy,2.14,Physical Display,High,Struggling
P120,9-12,Developing,S120,162,83,1,82,5,1,High,16.45,38,Neutral,2.07,Physical Display,High,Struggling
P121,6-8,Advanced,S121,297,91,73,18,2,1,Medium,22.47,16,Happy,0.58,AR-based,High,Struggling
P122,6-8,Developing,S122,383,74,62,12,5,0,Low,26.8,19,Neutral,2.36,VR-based,Medium,Disengaged
P123,6-8,Advanced,S123,212,45,18,27,5,1,High,6.49,8,Neutral,2.91,Physical Display,Low,Struggling
P124,3-5,Advanced,S124,287,62,21,41,5,0,Medium,25.27,47,Happy,2.06,VR-based,Medium,Struggling
P125,9-12,Early,S125,369,67,41,26,0,1,High,29.24,11,Frustrated,2.7,Physical Display,High,Struggling
P126,6-8,Developing,S126,503,62,27,35,1,1,High,5.18,41,Frustrated,1.59,Physical Display,Low,Struggling
P127,3-5,Advanced,S127,125,39,12,27,0,0,Medium,23.62,15,Happy,2.78,VR-based,High,Struggling
P128,9-12,Advanced,S128,225,19,17,2,0,0,Low,28.88,35,Frustrated,1.46,Physical Display,Low,Disengaged
